id,Reviews,AspectTerms,OpinionTerms,Categories,Polarities
543,性价比高，被好评吸引过来，还有赠品，用用再说。,_,是真东西,真伪,正面
544,昨天晚上买的  中午就到了  很快,气味,淡淡的,气味,正面
545,买了好几次了，补水效果感觉还不错，就是优惠力度感觉没有以前大了！,_,很滋润,使用体验,正面
546,一直用的***的，这次换换这个***的试试，好评吧！,粉扑设计,非常棒,包装,正面
547,还没开始使用，包装很漂亮，60片可以用上一段日子了，等6.18再来囤货。,盒子颜值,很高,包装,正面
548,挺好的，遮瑕的效果也特别好，特别喜欢，物流也特别快,快递,真的快,物流,正面
549,补水效果不错，物流也很快！一直都用这牌子的东西真的很好用,物流速度,_,物流,正面
550,满意，搞活动双十一买的很划算，第一次买这个牌子的面膜，不知道效果怎么样，,_,香香的,气味,正面
551,给妹子买的不是很懂，反馈效果说很不错,_,很润,使用体验,正面
552,挺好的呀呀呀呀呀呀呀呀呀呀呀呀,_,挺好,整体,正面
553,补水效果好，用后脸水润润的，味道清香，易吸收，做活动买的，很划算。,_,不是很好用,整体,负面
554,还没用，送了面膜，包装还不错，忘记拍照了，物流还蛮快,_,不是很干净,功效,负面
555,还不错吧，看~上推荐的，价格便宜，具体作用，有待时间的检验,_,肤色好好,使用体验,正面
556,面膜超级划算，很喜欢**买东西，又便宜又快。购物体验很好！面膜也不错。补水效果不错！,_,快,物流,正面
557,确实挺好用，挺舒服，挺干净！！！！之前也考虑过其它的，感觉这个性价比高！,服务,好,服务,正面
558,好开心，送了超级多中样,_,好用,整体,正面
559,一直用这个，保湿效果非常好，干性皮肤很适合用，冬天再也不怕天气干燥,价格,便宜,价格,正面
560,很好用，一直都在用，也很好涂抹，一抹就开！,_,正品,真伪,正面
561,还可以还有赠送，很实惠！,_,还可以,整体,正面
562,包装也太丑了。。吧,_,很好,整体,正面
563,很好，下次再来购买。,_,提好的,整体,正面
564,哈哈哈哈哈，好快就到啦，很喜欢，很香哦！,_,挺好,整体,正面
565,感觉太白了，白的不自然。,泡沫,丰富,使用体验,正面
566,还不错吧，给老妈买的，还送了很多赠品，如果用着好，我也给自己买试试,_,很干净,使用体验,正面
567,很不错，又便宜。精华很多！,洁面,挺好的,功效,正面
568,用后水水嫩嫩的，不油腻,_,还不错,整体,正面
569,保质期四年，买到手还剩两年，怪不得便宜了，应当提前告知不足四年的！,_,很多泡泡,使用体验,正面
570,很好，是正品,_,好用,整体,正面
571,看起来还不错，等用了再来评论吧,_,很好,整体,正面
572,当天到货，才拿到就打开试用，涂在手上我用湿毛巾擦都擦不掉，清香型，很喜欢,_,真的很不错,整体,正面
573,****，优惠多多。非常满意。希望能白一点。,_,很好用,整体,正面
574,与描述的一样 没让人失望,_,很适合,整体,正面
575,确实挺白的，不过用完脸上长痘，还刺痒啊,_,非常好用,整体,正面
576,大品牌值得信赖，**快递速度很快。,遮瑕效果,很好,功效,正面
577,补水的，买隔离送的，很满意，谢谢，好评哈,_,很好用,整体,正面
578,很不错，用起来感觉很水润,_,很好用,整体,正面
579,颜色挺合适，自然偏白,_,温和不刺激,使用体验,正面
580,买回来先用一张，不过敏，好,清洁力,不错,功效,正面
581,第二次购买了，一直都是在**买的化妆品，面膜什么的，发货速度快，商品好，信赖**,_,好评,整体,正面
582,用了几天感觉很好,_,很好用,整体,正面
583,挺香的，感觉效果不错，泡沫很多,卸妆效果,很好,功效,正面
584,一直在用这个牌子的护肤品，感觉很不错,_,不紧绷,使用体验,正面
585,非常好用很好,_,挺好闻的,气味,正面
586,包装精美，质量上乘，价格合理，值得购买。,_,不假白,功效,正面
587,第一次用这个牌子，感觉也还好。一直在**买东西，速度快，质量有保证，相信**，相信#。,_,亮肤,功效,正面
588,这款面膜挺好用的，精华很多，粘稠，而且面膜很服帖，没有气泡现象，挺好。,_,滋润,使用体验,正面
589,很不错的一款隔离霜继续关注的&hellip,_,很好用,整体,正面
590,第一次买，遮瑕，保湿效果非常好。下次还买。,_,很喜欢,整体,正面
591,非常好用，洗了脸很清爽舒服。,_,挺好的,整体,正面
592,还行吧，该车滴滴滴滴啊哈哈哈啊哈 哥给您你,_,很贴皮肤,使用体验,正面
593,隔离非常好用，有一点提亮肤色,价格,便宜,价格,正面
594,已经第二次购买，很柔滑补水效果很好，真心好用,活动,给力,价格,正面
595,感觉可以的,_,不错,整体,正面
596,不错，拿来补水用！,_,好用,整体,正面
597,不错，挺好用的,_,不浮粉,使用体验,正面
598,做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还OK吧,_,不错,整体,正面
599,和以前用的比起来更滑,_,挺补水的,功效,正面
600,**大牌很好，用后感觉挺好,_,很薄,使用体验,正面
601,买了一大堆可以用一段时间了还赠送了五片，好。,_,贵了,价格,负面
602,个人情况：好评，,_,服帖,使用体验,正面
603,非常好，还送了面膜，给个赞！,_,自然,使用体验,正面
604,我用化妆品基本不会过敏的，但是用这款乳有点火辣辣的感觉,味道,很好闻,气味,正面
605,正品，价格实惠，感谢卖家送的礼物，谢谢！还会回购的！,_,蛮好用的,整体,正面
606,是正品，跟我在柜台买的一样但是比柜台要便宜很多，值得购买,_,轻薄,使用体验,正面
607,商品实用，性价比高；老婆很喜欢。,_,不油腻,使用体验,正面
608,不错，挺温和的一款洗面奶，我一直都在用这个牌子的！,_,蛮自然的,功效,正面
609,挺好的，价格很实惠,_,不错哦,整体,正面
610,买水乳套装时凑单买的，听说用起来还不错,_,特别便宜,价格,正面
611,第二次购买了，好用。服帖保湿，不假白。,_,很湿润,使用体验,正面
612,非常失望，收到货居然是次品，镜子碎成这样了，不知这么多好评是哪来的，差差差,赠的东西,挺多的,价格,正面
613,宝贝！很满意！快递小哥很礼貌,_,还可以,整体,正面
614,物流很准时，快递员辛苦了(?&nabla,遮瑕效果,挺好,功效,正面
615,今天刚收到，物流快，打开了看看，产品一样，??,_,不保湿,功效,正面
616,东西不错一直在用，这次有促销就多买了些，好评！,_,好干,使用体验,正面
617,~拍的徒手装面膜，都不敢用了，扔柜子里了。,_,没以前好用,整体,负面
618,隔离霜不错。用完还会继续买。,_,良好,整体,正面
619,性价比比较高，适合学生党。,_,无异常,整体,正面
620,超级难用！！！！上妆超级差，#，。很想退，但是开了封不能退。再#也不买了,_,喜欢,整体,正面
621,多次购买了 挺好用的,_,好用,整体,正面
622,以前在实体店买过  这次在**买也蛮好的  也不卡粉,包装,太随便了,包装,负面
623,还没用，但***的产品用了好几种了，都非常的不错，我是敏感肌肤，很适合用这款氨基酸的。囤货中。,_,不值,整体,负面
624,挺不错的  敏感肌终于找到合适的洗面奶了,_,物美价廉,价格,正面
625,还不错，隔离效果还可以！,_,放心,整体,正面
626,昨天用了，挺好的，淡妆卸得干净，量也大，性价比不错,_,非常好用,整体,正面
627,宝贝收到了，我要投诉快递员，服务态度不好，还反说我这个人说话不好听,_,油而不腻,使用体验,正面
628,好用 颜色是紫色 偏黄肤色用的显白 用完再来,_,还不错,整体,正面
629,感觉有点干，不好涂开吧,_,轻薄,使用体验,正面
630,包装有点失望，都不敢用，试试效果还可以,_,不油腻,使用体验,正面
631,效果很好，不卡粉，挺划算的，感觉美美哒,_,很好用,整体,正面
632,还不错，不是那么白，不影响再上一层cc霜,_,很均匀,使用体验,正面
633,非常满意。,_,挺好的,整体,正面
634,买了好几次了喜欢,_,挺好的,整体,正面
635,用啦一片还行吧补水我之前有买过这个牌子的面膜好像和这个不太一样！用用看吧不行的话换别的买吧?,_,挺好用的,整体,正面
636,服务不好还叫我发5颗星,_,不卡粉,使用体验,正面
637,包装精美，物流还是一如既往的快，还没用过这个面膜，用过了再来评价,_,很自然,功效,正面
638,一直听说很好用就买了，试了试觉得不错,_,喜欢,整体,正面
639,宝贝收到，还没用，双十二买的便宜备用的，老顾客了，挺满意,礼品,超级喜欢,服务,正面
640,今天才收到，跟在实体店买的一样，买了三瓶送了好几样赠品，用了效果好以后护肤品就在你家买。,_,挺好用,整体,正面
641,面膜很好，女儿看着说我也要用，哈哈,_,喜欢,整体,正面
642,还可以吧，不是那么水润，味道有点大，物流挺快的。,_,非常好用,整体,正面
643,一直在用，感觉隔离效果不错，绿色显得皮肤很白。,快递,好快,物流,正面
644,酒精味道比较浓郁,包装,很满意,包装,正面
645,不错，很好用，能遮暇，自然美，很喜欢,_,很滑嫩,使用体验,正面
646,还不错，我用了很久了,_,不刺激,使用体验,正面
647,之前买护肤品的时候送了两片试用，觉得还不错，又买了一套来用，这个面膜很好用，而且很实惠！,_,有点油,使用体验,负面
648,是正品，非常满意，下次再来！,_,很好用,整体,正面
649,很好用啊，水嫩嫩的不会过敏，以后还来买,_,很喜欢,整体,正面
650,这个粉饼好用，送货快，包装盒完好，省时省力。,_,还不错,整体,正面
651,两瓶一大一小，小的做旅行装，总得来说还是可以的,_,挺喜欢的,整体,正面
652,超级好用！！！！！！！！！！！！？？？？？,_,很好闻,气味,正面
653,第一次买，买一送一，真的很划算，非常满意。,_,应该不错,整体,正面
654,还好吧，量挺多的。,赠品,很好,价格,正面
655,快递小哥一如即往的好服务，我用这款面膜不错，很服帖，支持,赠品,很实在,价格,正面
656,已经用了补水效果不错，没有过敏不适的反应,_,挺好,整体,正面
657,很滋润是正品,_,是正品,真伪,正面
658,面膜一直都在使用，质量很好,_,还可以,整体,正面
659,本来只收到一个快递，然后以为少发了，问了客服，原来两个，不错不错，点名一下客服海流,速度,很快,物流,正面
660,经常用他们家 非常不错 可以购买 用了几年了 应该正品,_,不错,整体,正面
661,挺好的，实体店都说停产了，买不到，只能在网上买，感觉和实体店买的一样，不错的,_,好用,整体,正面
662,我是混干皮，觉得还不错，遮瑕四星，持久度四星，也挺好上妆的，就是这个色号比我稍微暗一点，我本来就不算白，这个色号有点黑了。,发货送货,很快,物流,正面
663,包装很好看，期待产品效果呦，第一次用这个牌子，但是是好牌子，信得过,服务态度,很好,物流,正面
664,刚刚用，还不错，喜欢这颜色和味道，继续使用哦,质量,值得信赖,其他,正面
665,价格实惠 用着也挺好的 每天一片,_,好评,整体,正面
666,一直用这个品牌 是正品,_,超实惠,价格,正面
667,好多赠品，用了下挺自然的，味道也好闻，不错?,_,真的不错,整体,正面
668,脸上的斑很多，这款气垫遮暇效果还不错，推荐购买。图片是没有美颜的。,_,好用,整体,正面
669,第四瓶回购 皮肤是有白一点 淡斑是真没看出来,_,很清爽保湿,使用体验,正面
670,我一直在用这个  感觉挺好的  要就不打算换了,香味,淡淡的,气味,正面
671,昨晚买了下的单，今天下午就收到货了，物流好快不说，实物跟图片上描述相符，不错！给予好评?,香味,特别好闻,气味,正面
672,母亲节给妈妈的礼物，她很喜欢，她是一直用这个牌子的化妆品，一直在专柜买的，希望这次她也能用的开心,_,特别好用,整体,正面
673,好用好用，真的好用，赞,发货,比较慢,物流,负面
674,挺不错的，洗完脸也不紧绷,_,柔软,使用体验,正面
675,有泡沫，而且特别温和。还有淡淡的香味。,_,非常喜欢,整体,正面
676,连续买了很多***的东西，不是我用，不过应该还可以吧,_,均匀,功效,正面
677,这款价格经常变动越来越高了啊,客服态度,很好,服务,正面
678,粉扑有一点刺鼻气味，其它的都不错,赠品,没,价格,负面
679,昨天下午下的单今天中午就送到了，棒极了，,_,很好,整体,正面
680,跟店里买的一模一样，很喜欢，也很好用！,_,正品,真伪,正面
681,双十一抢得了这个超级好用诶，也很服帖，啦啦啦啦啦啦,_,很好用,功效,正面
682,很好，很喜欢，相信**,_,水润,使用体验,正面
683,快递师傅很给力，????,_,白皙,功效,正面
684,用过了，感觉还不错，不油腻，颜色也自然,_,很自然,功效,正面
685,用了十几年了！感觉很适合我的皮肤！,_,还可以,整体,正面
686,效果不是很好,_,挺好的,整体,正面
687,感觉不怎么补水  将就了 毕竟便宜,_,特价,价格,正面
688,洗面奶是舅妈推荐的，用过几次，泡沫细腻，还不错，就是味道不如那个好闻，不过挺适合我这种敏感肌的。,物流,快,物流,正面
689,挺好的，东西收到了，快递速度快，给你们点个赞。,味道,不是很好闻,气味,负面
690,一直用的这个牌子的，这款洗面奶感觉泡沫有点多，清洁力还行的。,价格,实惠,价格,正面
691,面膜还行，，不知道效果,塑封袋,_,包装,负面
692,搞活动买的，很划算，还没用，希望补水效果大大滴,_,好假,真伪,负面
693,我才用了两天  感觉还不错第一次用我一直用***的护肤品  挺喜欢用的,_,不开心,整体,负面
694,用了￣段时间，感觉有点连连的，没有之前用的别家的好。,_,挺好的,整体,正面
695,一如既往的好,_,不好晕开,使用体验,正面
696,跟图片一样，物流快，还没用不知道'怎样,_,遮不住什么,功效,负面
697,还可以，不怎么油腻，气味也蛮好,_,还不错,整体,正面
698,感觉还可以，量很足，卸的也挺干净，价格也实惠,_,挺不错的,整体,正面
699,面膜是正品，真正的物美价廉，物流给力快递小哥服务态度很好。点赞！需要的请赶快入手啦！,_,很好,整体,正面
700,很好很喜欢,_,很水润,使用体验,正面
701,味道闻起来很香 用起来很水润不浮粉 喜欢,_,物美价廉,价格,正面
702,宝贝质量很好，给全五分好评，服务态度也很棒，给100个赞，物流神速，必须，好评。,_,喜欢,整体,正面
703,是正品哦，包装很好,_,还可以,整体,正面
704,补水效果超级好，以后会继续回购的。,物流,很快,物流,正面
705,应该是正品吧，觉得还行,性价比,很高,价格,正面
706,特别温和，不刺激皮肤。,_,好评,整体,正面
707,一直用***，很好用，不干还好吸收，美白作用,物流,太给力,物流,正面
708,正是我想要的效果，擦脸上很自然的颜色,_,特别实惠,价格,正面
709,一直用这个牌子 特别的好  快递也很快 给商家还有快递小哥一百个赞,补水效果,很好,功效,正面
710,最近一直在用***，还不错，信得过**，**快递???,味道,好闻,气味,正面
711,买了两份，满满一大箱，真的好便宜，面膜轻薄补水。,_,很不错,整体,正面
712,一直用的***的，之前在实体店买的，这次买的也好用，挺实惠的一次购物。,_,杠杠的,整体,正面
713,包装好物流快给力,_,保湿,功效,正面
714,很好，很快，还会继续支持**。加油加油加油,_,不油腻,使用体验,正面
715,价钱实惠，质量很好的国货产品，第三次购买了。,香味,淡淡得,气味,正面
716,第一次用***的面膜，感觉不错，下次继续哦,_,太超值,价格,正面
717,看着不错和以前买的一样还没用快递小哥很给力服务很好,_,接近肤色,功效,正面
718,送了十片玻尿酸面膜，小脸敷上去刚刚好很平整，而且敷完以后脸上很舒服，吸收也很快,_,不是特别油,使用体验,正面
719,比实体店便宜很多，还挺好用的,_,真不错,整体,正面
720,感谢**推荐，挺好用的，超补水,_,不干,使用体验,正面
721,看起来不错，还没用，不过才买两天就降价10元。真的好郁闷?,_,挺温和,使用体验,正面
722,货物很好，下次还要买,_,很好,整体,正面
723,只能说一般般吧,卸妆,温和,功效,正面
724,清洁能力：感觉清洁不太好，很稀，不怎么起泡泡，一次要用好多才有感觉,_,不干,使用体验,正面
725,特别好，一直都是**的忠实粉丝！每次都没失望过！产品质量特别好！,_,干净,功效,正面
726,还行吧，只能说还行,_,量大耐用,其他,正面
727,东西很好用，面膜很服帖，实体店好贵呢，才几片，这次可以用两个月了,_,挺喜欢的,整体,正面
728,挺好的，价格便宜量又足，好评,卸妆,无负担,功效,正面
729,希望大家千万别买这个面膜，用着都掉皮，怕是脸都能让这个面膜给毁了，太吓人了，?,_,挺好,整体,正面
730,隔离很好用，紫色很适合我的皮肤。,_,很迷你,包装,正面
731,超级好用，比我的***补水还强，大爱,_,很细腻,使用体验,正面
732,****，物流特别快，纸质不错，刚好遇到活动价，果断下手，有时间再用，到时候再追评！,白的,不浮夸,功效,正面
733,一直在用，双十一比较优惠些,香味,淡淡的,气味,正面
734,这款乳液个人觉得挺好的，不会过敏 赞,价格,实惠,价格,正面
735,挺好的，味道闻着不错，后续使用看看效果，,物流,很快,物流,正面
736,不能用，填一片，脸红肿，又痒的，全部?了，在实体店买的都没有，应该是假的，可怕,_,好评,整体,正面
737,一直在用，效果很好,_,很温和,使用体验,正面
738,真的很舒服，大品牌就是好,_,不敏感,使用体验,正面
739,好好好！不错哦！,_,可以的,整体,正面
740,用了还不错哦，想买的亲可以放心下单了！,价位,非常合适,价格,正面
741,支持**！水润保湿，很好！,价格,很优惠,价格,正面
742,不错哦。速度很快，~。以后就买****的了。,保质期,太短,新鲜度,负面
743,还不错不过有点薄,_,很不错,整体,正面
744,赠品和大瓶的一样的，这个价格买到，不错我喜欢,_,好评,整体,正面
745,使用后感觉很舒服，第二天脸也挺滋润，感觉不错！,_,很喜欢,整体,正面
746,挺好的，很滋润，但是唯一的效果就是不怎么白，擦了效果不是很明显，就像没查一样的其他都挺好的，,_,很好用,整体,正面
747,上妆贴合皮肤，自然，不假面，nice,生产日期,比较旧,新鲜度,负面
748,很好用，而且还有美白效果，感觉都不用素颜霜了?,_,可以,整体,正面
749,遗憾，买错了，退的挺迅速的，**商城服务一流,活动,_,价格,正面
750,个人感觉抹上有点油，可能适合冬天,包装,_,包装,负面
751,看了评价买来试试，用了以后感觉保湿效果还是很不错的，搞活动买的，挺好的！,快递速度,快,物流,正面
752,一直在用***的产品，好用 值得信赖！快递也很给力！?,快递,点赞,物流,正面
753,活动价69元两盒入手，真的是太超值啦，很服帖，很补水，味道也喜欢,_,不错,整体,正面
754,试了一下东西特别好用。也划算。还会继续购买,价格,实惠,价格,正面
755,一收到宝贝就试了一下，特别好,补水,很适合,功效,正面
756,还不错  只不过没有&reg,护肤,很适合,功效,正面
757,味道有点点膳？听湿润，我买的自然色感觉有点白，送两个替换芯，挺好,修复角质层,_,功效,中性
758,好好用 也很划算 用完再来买,_,很水,使用体验,正面
759,价格实惠，物流快,_,不粘稠,使用体验,正面
760,发货速度挺快的 价格便宜,_,挺温和的,使用体验,正面
761,购买方便，送货快！,_,很好,整体,正面
762,东西收到，物流快，,_,便宜太多了,价格,正面
763,挺不错的！挺好用 一直用这个洗面奶,价格,优惠,价格,正面
764,非常满意 客服小海绵的服务也很好 很耐心,_,挺好,整体,正面
765,俩口觉得很好的，***,_,不错,整体,正面
766,物有所值，东西很不错，,_,非常好,整体,正面
767,面膜不错，**让我等了7八天,_,很白,使用体验,正面
768,不错，喜欢,_,不壳粉,使用体验,正面
769,昨天晚上看到的这款面膜，随机就买了，不知道好不好用。但物流特别快。好评,赠品,_,价格,正面
770,婆婆很喜欢，买了一大堆,隔离效果,很好,功效,正面
771,用了一下，还可以吧,_,是正品,真伪,正面
772,这款面膜补水不错，化妆品我用的也是这款，支持?,外壳,好看,包装,正面
773,包装精美，天猫直送很给力，感谢丫头,_,好评,整体,正面
774,还没用，应该是正品，,_,很好用,整体,正面
775,同品牌用过其它的很好 这个第一次买  希望不会失望 物流服务又好又快,_,水润润的,使用体验,正面
776,收到宝贝晚上就用一贴，面膜滋润，精华特别多，我是敏感肌肤还不知道会不会过敏，快递小哥态度很好,_,很好,整体,正面
777,东西很好用，已经用过一段时间了，很满意,_,很划算,价格,正面
778,适用了一下，还不错。,_,很喜欢,整体,正面
779,真的好，值得拥有值得信赖,服务,非常好,服务,正面
780,物流给力，效果比想像的要好,味道,非常喜欢,气味,正面
781,东西还不错。超出预期。很满意。两片，也划算。推荐购买,_,很滋润,使用体验,正面
782,用了才来评论，水水的很舒服，春天最适合补水，搞活动超划算。,_,挺不错的,整体,正面
783,挺好用的不油很清爽，还送了小礼品面膜也很好用哦。,_,喜欢,整体,正面
784,很可爱，我很喜欢。期待效果哦,_,有点小贵,价格,负面
785,真的不错、下次还来光顾,_,显白,功效,正面
786,扫描了是正品，一直用***产品，大家放心使用,_,水润,使用体验,正面
787,物流很快，东西质量不错，很喜欢,_,很好推开,使用体验,正面
788,帮同事购买的，说超级好用。很不错的一款哟,_,很讨厌,整体,负面
789,非常好的一款产品！使用没毛病，效果好，包装精美，送人自用都可以！！！推荐大家购买啊！！真的很好！！！,_,破了,包装,负面
790,特别好用。一直用的这个品牌，效果不错。,_,水漏了,包装,负面
791,第一次购买该商品，很满意,_,划算,价格,正面
792,明明买的时候还有赠品的，结果到手的时候却没有？怎么回事？,活动价,_,价格,正面
793,东西收到几天了，用得也很好噢，所以今天来评价一下,_,喜欢,整体,正面
794,一如既往地好用！买了好多套了！送了好多小样！礼品！面膜！超喜欢,_,很不错,整体,正面
795,**购物～～～方便～～～快～～～,_,挺好,整体,正面
796,用过才来评价的，自然色擦到脸上感觉颜色有点暗，别的还好,味道,好,气味,正面
797,宝贝收到了，扫码是正品，非常喜欢，谢谢商家！,_,很好用,整体,正面
798,用着一般，当时发的时候还少给一个替换装，后来补过来了,_,不是正品,真伪,负面
799,面膜非常滋润，有一定的保湿补水的功效，使用了皮肤变的好一些了哪。,_,很好用,整体,正面
800,还不错??,_,不错,整体,正面
801,不错刚用两天,价格,实惠,价格,正面
802,用着没过敏、继续看看,_,很润,使用体验,正面
803,物流还不错，小哥服务态度好,_,很柔暖,使用体验,正面
804,还可以 用了不灵不灵的,_,还可以,整体,正面
805,还好吧  没有网上说的那么好,_,还不错,整体,正面
806,质量很不错，很好用，希望大家，。。。。。。,_,挺环保,其他,正面
807,包装很好，看着很喜欢,_,可以,整体,正面
808,洗面奶不错，洗完脸不紧绷，泡沫细腻,_,挺好,整体,正面
809,小姑很喜欢用，第二次在**帮她买了，有活动就更好了,_,很好用,整体,正面
810,严重怀疑产品质量，每次用完都是满脸浮粉，平时买东西能凑合的就都给好评，这次真的太失败了，再也不会买了,_,是正品,真伪,正面
811,挺温和的，不刺激，还很香,_,挺好,整体,正面
812,***我怀孕的时候都用过，补水很好，很赞。,_,非常好,整体,正面
813,面膜用了再来评价的，感觉蛮不错的，还会回购的,_,很喜欢,整体,正面
814,收到了，物流很快，面膜还没用，用后评论,_,棒棒的,整体,正面
815,物流速度有点慢，第二天没有到达。,_,五分好评,整体,正面
816,面膜不错，薄，服帖，比**还好。,配送,很给力,物流,正面
817,赠品非常不错，很好用，感谢**,_,还可以,整体,正面
818,货收到，很不错，己经用习惯了，从来不买别的牌子的，已经是N次购买了！,_,适合,整体,正面
819,用后感觉不错,_,很喜欢,整体,正面
820,好用，一直在用，母亲节买给婆婆的礼物，她很喜欢。好用不贵的东西，快来买吧！,_,有点干,使用体验,负面
821,这个真的还不错 回购了几次了,_,还不错,整体,正面
822,东西还可以！！！,_,可以,整体,正面
823,已经买了好多好多次了，挺好用的。物流超快的。,_,很好涂抹,使用体验,正面
824,好评，真的很贴脸，偏黄的肤色，用这个颜色不会很夸张,味道,喜欢,气味,正面
825,收到就打开用了，不错哦，还挺好的，一如既往的爱在**上买东西，都是正品，放心，好评好评好评,包装盒,压扁了,包装,负面
826,第二次购买啦！妈妈说很好用。,快递,很负责,物流,正面
827,里面总共三个，不够细腻，一片一片的，打脸上浮粉，,_,很好用,整体,正面
828,面膜蛮轻薄的，也很服帖，透气性比较好，才刚用，还没看出效果，水分还可以，总体满意，大品牌让人放心！,物流,很快,物流,正面
829,哈哈最喜欢这个面膜了回购了,_,很好,整体,正面
830,效果一点不好。洗不净。洗了脸上会比较油。不知道那么多好评哪里来的。欺骗消费者,服务,超级棒,服务,正面
831,很不错的面膜，很喜欢，**优惠活动很给力，客服态度也很好,物流,很快,物流,正面
832,这次趁活动买了两盒，以前是用袋子装的，这次的是盒子，看起来上档次了不少,_,正品,真伪,正面
833,一直用***这个系列的，做活动的时候下手的，物美价廉,_,很高兴,整体,正面
834,可以的一直都是用***,_,不卡粉,使用体验,正面
835,感觉还好吧，第1次用这个牌子。性价比很高。,_,喜欢,整体,正面
836,刚收到就用了下，很水润,_,不错,整体,正面
837,之前买过一次用的挺好的，这次又囤了2瓶，隔离霜很轻薄，质量很好的。,_,很好,整体,正面
838,面膜还行吧，还没怎么用呢，用了再说吧,_,非常好,整体,正面
839,给妈妈买的，好看方便使用，干净,_,喜欢,整体,正面
840,已经开始用了，效果很棒，很自然，不加白，值得推荐,_,好用,整体,正面
841,买了霜，洗面奶，气垫，便宜又好用。而且物流也快。,_,很细腻,使用体验,正面
842,看着还不错，刚刚收到，效果要等到用了才知道,_,很提亮肤色,功效,正面
843,还可以，第一次使用，没什么过敏，比较服帖,_,相当不错,整体,正面
844,东西一般吧，没有，感觉特别的什么不同,快递,没得说,物流,正面
845,用起来挺好，效果挺好，特别白的自然。。。。,_,是正品,真伪,正面
846,水乳我一直在用，很好，非常满意,价格,有优势,价格,正面
847,不错，原装盒里就有一个替换装了，加上赠送的一共两个呢！谢谢快递小哥！,快递,很给力,物流,正面
848,试用了一下，很自然，期待效果,_,很划算,价格,正面
849,哇嘿！我早上付的款，下午就到了，速度快！,_,挺好的,整体,正面
850,看着包装和实体店的一样，还没用！等用了在来评价！,_,不错,整体,正面
851,怎么只有一个替换装，而且不是很好用，已经拆了不能退了,_,挺好的,整体,正面
852,好用，和实体店里的一样??,_,不好用,使用体验,负面
853,买给母上大人的，妈妈挺喜欢这个牌子的，说用着好！,包装,挺好看的,包装,正面
854,赞，老用户了，一如既往，啥也就不说了,_,好划算,价格,正面
855,好评，物流也出乎意外的快，赞。,_,希望满意,整体,中性
856,之前一直用这款隔离，保湿不干，经济实惠,_,挺实惠,价格,正面
857,很实惠，看丫头直播买点,_,超级好用,整体,正面
858,挺好的，买了好久了才记得来评价，价格实惠,_,超级划算,价格,正面
859,很好，N次购买了,味道,还可以,整体,正面
860,超好用很水润，粉了粉了，以后多多续费，耶,上妆,比较滋润,使用体验,正面
861,第一次买这个牌子的面膜，希望好用吧！赶上买一送一的活动，划算，好用的话，用完还来！,_,比较轻薄,使用体验,正面
862,可以，美美哒,持久度,挺ok的,使用体验,正面
863,老顾客了，一直信赖的品牌，很滋润，值得购买,遮瑕,没有那么强,功效,正面
864,太棒了，效果好,补水,非常好,功效,正面
865,送货快，服务好，非常棒,_,超值,价格,正面
866,之前用的他们家赠品小样还可以，买来试试，,_,清爽,使用体验,正面
867,隔离还是挺好用的，不厚重，提亮肤色，味道不错，***皮应该不太合适,补水,棒棒哒,功效,正面
868,不错啊你们的东西很喜欢这个链接转链接转链接转链接,_,不错,整体,正面
869,东西还行，味道淡淡的。试用一段时间先。,_,很好,整体,正面
870,不油腻 这个季节用合适,_,很快,物流,正面
871,宝贝不错，很满意,_,又划算,价格,正面
872,宝贝挺好的，自然白，带点香味！,_,滑滑的,使用体验,正面
873,应该是正品吧！一直用这个牌子。网上便宜很多,_,嫩嫩的,使用体验,正面
874,东西收到了，是正品，很好用，快递很给力,_,还可以,整体,正面
875,购乳液顺便买了这面膜，价格不高，希望功能好。,_,不会紧绷,使用体验,正面
876,**快递超级快，是正品。,去油效果,很好,功效,正面
877,老婆说很有用！非常好用！一点也不油腻！棒棒哒,_,很舒服,使用体验,中性
878,收到货了，试用了一下，棒棒的,_,泡泡多,使用体验,正面
879,一直关注的，活动期间买的，颜色很自然，一个两个替换装喜欢,味道,清香,气味,正面
880,用起来方便，上妆很快，很轻薄，总体感觉还可以,价格,很划算,价格,正面
881,一打开味道太刺鼻了，塑料味太浓了！不敢用了！,_,非常不错,整体,正面
882,面膜很不错，补水挺好的，价格也很实惠，还送了三敷眼贴，很好用,泡沫,细腻,使用体验,正面
883,晚上买的，第二天中午就收到了，特别快，很满意。,味道,很好闻,气味,正面
884,遮瑕效果超级好，很亮，很白，很喜欢是我想要的,_,棒棒哒,整体,正面
885,物流很快啊，商品质量也很好，值得购买！,价格,不贵,价格,正面
886,润玉仙推荐的，当然棒棒,_,比较少,其他,负面
887,**就是棒，物流超快。价格相当实惠，没想到有那么大瓶。用的很好。干净。,_,还不错,整体,正面
888,女神节给媳妇买的，一直信任**，**也是非常的不错，东西非常好！下次继续！,_,挺好的,整体,正面
889,感觉还可以，送的东西也多，味道清香。,_,很喜欢,整体,正面
890,东西很不错 物有所值用几天再来追评,_,不错,整体,正面
891,保湿效果还不错～～～～,_,便宜,价格,正面
892,补水还行。很便宜啊主要是。。。。,_,很好用,整体,正面
